size,original,current,speedup,throughput
64,0.060970458984,0.001481414795,41.15691242573286,41.200585046134904
256,0.238009765625,0.005453877686,43.6404663485517,44.76459485453888
1024,0.97148565625,0.021476725586,45.234346938030484,45.47073510296143
4096,3.828567625,0.084448160156,45.33630594115415,46.25618832647194
16384,15.3026455,0.341045898438,44.86975380758589,45.8149476993066
65536,61.6905,1.40202084375,44.00112899534059,44.57850985498232
